"Story","Title","Result","Date","Stability","Duration (s)"
"Acadeny Choucair","Search for a automation course","PENDING","2021-08-25T23:44:27.3335515-05:00[America/Bogota]","0.0","0.22"
"Academy Choucair","Search for a automation course","SUCCESS","2022-07-05T19:20:38.1339923-05:00[America/Bogota]","0.0","35.39"
